Sr._No. Spindle_speed(rpm) Feed_rate(mm/rev) Depth_of_cut(mm) MRR(mm3/min) Ra(µm)
1 280 0.0508 0.4 306.67 0.36
2 280 0.0508 0.8 609.76 0.47
3 280 0.0508 1.2 909.28 0.52
4 280 0.1016 0.4 582.94 0.8
5 280 0.1016 0.8 1158.73 0.9
6 280 0.1016 1.2 1727.36 1.1
7 280 0.1524 0.4 943.34 1.63
8 280 0.1524 0.8 1875.96 1.76
9 280 0.1524 1.2 2797.84 2.17
10 710 0.0508 0.4 793.04 0.38
11 710 0.0508 0.8 1577.02 0.48
12 710 0.0508 1.2 2351.92 0.54
13 710 0.1016 0.4 1555.25 0.81
14 710 0.1016 0.8 3092.37 0.82
15 710 0.1016 1.2 4611.35 0.97
16 710 0.1524 0.4 2196.85 1.92
17 710 0.1524 0.8 4366.50 1.91
18 710 0.1524 1.2 6508.93 2.03
19 1120 0.0508 0.4 875.13 0.29
20 1120 0.0508 0.8 1735.95 0.37
21 1120 0.0508 1.2 2582.46 0.38
22 1120 0.1016 0.4 1745.24 0.82
23 1120 0.1016 0.8 3461.88 0.79
24 1120 0.1016 1.2 5149.90 1.11
25 1120 0.1524 0.4 2549.20 1.75
26 1120 0.1524 0.8 5055.49 1.89
27 1120 0.1524 1.2 7518.86 1.82
28 1100 0.05 0.4 1106.51 0.21
29 1100 0.05 0.69 2020.44 0.29
30 1095 0.15 1.2 6054.12 1.87
31 1097 0.13 1.14 5329.21 1.54
32 1094 0.12 1.15 5197.29 1.45
