round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,first_neuron,fourth_neuron,loss,optimizer,second_neuron,third_neuron
100,0.261867285,0.75,0.27564314,0.481481493,<function relu at 0x000001AA17107D08>,30,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.277996361,1,0.264962811,0.518518525,<function relu at 0x000001AA17107D08>,10,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.302886814,0.25,0.452316284,0.555555582,<function relu at 0x000001AA17107D08>,30,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.308678985,0.75,0.287408859,0.629629612,<function relu at 0x000001AA17107D08>,30,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,36
100,0.319613844,1,0.27420287,0.666666664,<function relu at 0x000001AA17107D08>,10,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
100,0.334159225,0.75,0.322456241,0.592592597,<function relu at 0x000001AA17107D08>,30,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.360301435,1,0.301365525,0.592592597,<function relu at 0x000001AA17107D08>,30,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.3728019,0.5,0.376916677,0.518518507,<function relu at 0x000001AA17107D08>,30,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.383452535,1,0.332197309,0.592592597,<function relu at 0x000001AA17107D08>,30,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,48
100,0.40038988,0.75,0.419390917,0.518518507,<function relu at 0x000001AA17107D08>,30,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.403250754,0.75,0.262259222,0.55555556,<function relu at 0x000001AA17107D08>,10,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.403414547,1,0.288012624,0.592592597,<function relu at 0x000001AA17107D08>,30,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.406122923,0.75,0.29151946,0.703703699,<function relu at 0x000001AA17107D08>,10,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
100,0.421318889,0,0.337910891,0.407407403,<function relu at 0x000001AA17107D08>,30,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,84
100,0.424579114,0.75,0.293776054,0.518518525,<function relu at 0x000001AA17107D08>,20,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.441465288,0.75,0.267377734,0.555555582,<function relu at 0x000001AA17107D08>,30,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,62
100,0.44586122,0.75,0.250328161,0.481481483,<function relu at 0x000001AA17107D08>,20,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.446649551,0.5,0.30838977,0.62962963,<function relu at 0x000001AA17107D08>,10,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,36
100,0.452936172,0.5,0.263470411,0.518518507,<function relu at 0x000001AA17107D08>,30,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.45517379,0.5,0.310776651,0.629629612,<function relu at 0x000001AA17107D08>,30,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,84
100,0.464040816,0.25,0.368686646,0.407407403,<function relu at 0x000001AA17107D08>,30,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.467190951,0.5,0.243482757,0.592592606,<function relu at 0x000001AA17107D08>,20,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.469997764,1,0.257812768,0.592592617,<function relu at 0x000001AA17107D08>,20,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,36
100,0.477385402,0.5,0.249900639,0.592592597,<function relu at 0x000001AA17107D08>,30,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.478271931,0.5,0.318478435,0.629629612,<function relu at 0x000001AA17107D08>,30,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.482769191,0.75,0.249762997,0.629629612,<function relu at 0x000001AA17107D08>,30,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
