round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,first_neuron,fourth_neuron,loss,optimizer,second_neuron,third_neuron
100,0.386672109,0.75,0.459909558,0.666666687,<function relu at 0x000001AA17107D08>,30,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,62
100,0.466409028,0.75,0.4019664,0.777777791,<function relu at 0x000001AA17107D08>,10,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.51182282,0.75,0.447283861,0.629629641,<function linear at 0x000001AA17118048>,20,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.517427623,0.75,0.38319087,0.666666687,<function relu at 0x000001AA17107D08>,30,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.51838243,0.75,0.450331977,0.70370371,<function linear at 0x000001AA17118048>,20,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.521766305,0.75,0.450014282,0.666666653,<function linear at 0x000001AA17118048>,20,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,84
100,0.526993871,0.75,0.481959343,0.740740716,<function relu at 0x000001AA17107D08>,30,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,84
100,0.53398484,0.75,0.373302042,0.703703701,<function relu at 0x000001AA17107D08>,30,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,84
100,0.534595311,0.75,0.45013809,0.629629652,<function linear at 0x000001AA17118048>,20,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,84
100,0.536345243,0.75,0.449542431,0.703703699,<function linear at 0x000001AA17118048>,20,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.541382968,0.75,0.450157552,0.629629619,<function linear at 0x000001AA17118048>,20,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,84
100,0.542962432,0.75,0.455547271,0.703703714,<function linear at 0x000001AA17118048>,20,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.547165275,0.75,0.400379426,0.703703699,<function relu at 0x000001AA17107D08>,20,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,36
100,0.547497809,0.75,0.451970191,0.703703699,<function linear at 0x000001AA17118048>,20,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.550175667,0.75,0.454176152,0.629629622,<function linear at 0x000001AA17118048>,20,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.550696015,0.75,0.447197409,0.666666653,<function linear at 0x000001AA17118048>,20,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
